X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-8575237.66736927,4710334.43759545,121687,Ward 1,"1417 Belmont Street Northwest, Washington, District of Columbia 20009",1417 Belmont ST NW,Completed 2015 to Date,DHCD,4,38.92085249,-77.03267722,0,1,3,0,0,,234175,397167.05,139214.88,1417 BELMONT STREET NW,2024/09/23 09:00:26+00
-8574427.65213344,4709979.35891946,121688,Ward 1,"923 V Street Northwest, Washington, District of Columbia 20001",923 V St NW,Completed 2015 to Date,DHCD,2,38.91835421,-77.02545504,0,1,0,1,0,,285464,397797.98,138939.19,923 V STREET NW,2024/09/23 09:00:26+00
-8572642.87508164,4709096.44304644,121689,Ward 5,"1634 North Capitol Street Northwest, Washington, District of Columbia 20002",1634 North Capitol St NW,Under Construction,DHCD,0,38.91213365,-77.00942936,0,0,0,0,0,,226794,399188.31,138253.87,1634 NORTH CAPITOL STREET NW,2024/09/23 09:00:26+00
-8570447.22591104,4707634.60692554,121690,Ward 6,"919 12th Street Northeast, Washington, District of Columbia 20002",OFF Twelfth,Completed 2015 to Date,DHCD,2,38.90192954,-76.98963507,0,0,2,0,0,,306565,400899.07,137119.51,919 12TH STREET NE,2024/09/23 09:00:26+00
-8574360.74544263,4715378.42830665,121691,Ward 4,"818 Kennedy Street Northwest, Washington, District of Columbia 20011",818 Kennedy St NW,Completed 2015 to Date,DHCD,1,38.95611235,-77.02480813,0,0,0,1,0,,254546,397851.24,143127.04,818 KENNEDY STREET NW,2024/09/23 09:00:26+00
-8569081.68172235,4707262.94391593,121692,Ward 5,"759 18th St NE, Washington, District of Columbia 20002",759 18th St NE,Completed 2015 to Date,DHCD,1,38.89937522,-76.97735445,0,1,0,0,0,,319625,401963.19,136831.27,759 18TH STREET NE,2024/09/23 09:00:26+00
-8570638.92018103,4712258.82854118,121693,Ward 5,"3624 12th Street Northeast, Washington, District of Columbia 20017",3624 12th St NE,Under Construction,DHCD,1,38.93424958,-76.99135708,0,1,0,0,0,,32575,400749.36,140707.29,3624 12TH STREET NE,2024/09/23 09:00:26+00
-8569992.9872691,4708760.67598926,121694,Ward 5,"1732 Montello Avenue Northeast, Washington, District of Columbia 20002",1732 Montello Ave NE,Completed 2015 to Date,DHCD,1,38.90978907,-76.98551584,0,0,0,1,0,,56871,401252.88,137993.39,1732 MONTELLO AVENUE NE,2024/09/23 09:00:26+00
-8574746.42185404,4711778.71103107,121695,Ward 1,"3300 11th Street Northwest, Washington, District of Columbia 20010",3300-3316 11th ST NW,Pipeline,DHCD,1,38.93089459,-77.02825539,0,1,0,0,0,,218168,397550.08,140335.2,3300 11TH STREET NW,2024/09/23 09:00:26+00
-8574534.34539058,4713630.03169773,121696,Ward 4,"4328 Georgia Avenue Northwest, Washington, District of Columbia 20011",4328 Georgia Ave NW,Under Construction,DHCD,2,38.94382501,-77.02629271,0,1,0,1,0,,252606,397715.68,141771.15,4328 GEORGIA AVENUE NW,2024/09/23 09:00:26+00
