GEOID,MHI_2013,MHI_2023,Rent_2013,Rent_2023,Value_2013,Value_2023,Income_Change_%,Rent_Change_%,Value_Change_%,OwnerPct_2013,RenterPct_2013,OwnerPct_2023,RenterPct_2023,OwnerChangePct,RenterChangePct
24031700105,103480.0,134514.0,1638.0,2481.0,322500.0,438800.0,29.99033629686896,51.46520146520146,36.06201550387597,88.10759792354884,11.892402076451155,86.9380028395646,13.061997160435402,-1.169595083984234,1.1695950839842464
24031700204,84175.0,118971.0,1676.0,1866.0,398200.0,493700.0,41.33768933768934,11.336515513126493,23.982923154193877,90.8466819221968,9.153318077803203,94.3109987357775,5.689001264222504,3.4643168135807088,-3.464316813580699
24031700205,149537.0,,1625.0,,497300.0,,,,,,,,,,
24031700206,125593.0,177708.0,1769.0,,441100.0,566500.0,41.49514702252514,,28.428927680798004,96.88796680497926,3.112033195020747,95.96730245231608,4.032697547683924,-0.9206643526631808,0.9206643526631768
24031700207,84531.0,130044.0,1544.0,1654.0,304700.0,425100.0,53.84178585371048,7.124352331606218,39.51427633738104,84.8108108108108,15.18918918918919,77.48827514330381,22.511724856696198,-7.3225356675069975,7.322535667507008
24031700208,100375.0,125167.0,985.0,1606.0,423500.0,513600.0,24.699377334993773,63.045685279187815,21.27508854781582,84.16666666666667,15.833333333333332,95.55895865237366,4.44104134762634,11.39229198570699,-11.392291985706992
24031700209,,188305.0,,3078.0,,581500.0,,,,,,,,,
24031700210,,181689.0,,2198.0,,660700.0,,,,,,,,,
24031700304,104956.0,,1682.0,,394500.0,,,,,,,,,,
24031700306,110000.0,145724.0,2000.0,2407.0,343500.0,434200.0,32.47636363636364,20.35,26.404657933042213,82.09018120522545,17.909818794774544,83.8209982788296,16.179001721170398,1.7308170736041575,-1.7308170736041468
24031700308,90577.0,122361.0,1490.0,2003.0,305800.0,390600.0,35.09058591033043,34.42953020134228,27.730542838456508,73.69658957271659,26.30341042728342,73.63473589973142,26.365264100268575,-0.06185367298516553,0.06185367298515487
24031700309,84018.0,96623.0,1508.0,1898.0,260000.0,338900.0,15.0027375086291,25.86206896551724,30.346153846153847,54.55680399500624,45.44319600499376,58.94039735099338,41.05960264900662,4.383593355987138,-4.383593355987138
24031700310,78288.0,93338.0,1393.0,1845.0,218100.0,346900.0,19.223891273247496,32.44795405599425,59.05547913801009,57.652880876634846,42.34711912336515,72.93288839451242,27.067111605487582,15.280007517877571,-15.280007517877564
24031700311,130114.0,,2000.0,,448300.0,,,,,,,,,,
24031700312,132993.0,,1521.0,,456900.0,,,,,,,,,,
24031700313,,103750.0,,2115.0,,426600.0,,,,,,,,,
24031700314,,216719.0,,2132.0,,745900.0,,,,,,,,,
24031700315,,214688.0,,2719.0,,670000.0,,,,,,,,,
24031700316,,163235.0,,2442.0,,539600.0,,,,,,,,,
24031700317,,171190.0,,3214.0,,678200.0,,,,,,,,,
24031700318,,168214.0,,2531.0,,514100.0,,,,,,,,,
24031700604,166417.0,217679.0,1478.0,3500.0,726100.0,908400.0,30.80334340842582,136.8064952638701,25.10673460955791,94.3820224719101,5.617977528089887,97.20594862550699,2.794051374493015,2.8239261535968865,-2.8239261535968723
24031700606,158375.0,164688.0,2000.0,2473.0,580700.0,758000.0,3.986108918705604,23.65,30.53211641122783,93.80392156862744,6.196078431372549,94.43671766342142,5.563282336578582,0.6327960947939744,-0.6327960947939673
24031700607,164826.0,,2000.0,,628500.0,,,,,,,,,,
24031700608,232566.0,250000.0,1867.0,3500.0,1000000.0,1341300.0,7.49636662280815,87.46652383502946,34.13,96.60922734852696,3.3907726514730405,93.64719228587634,6.352807714123652,-2.962035062650614,2.9620350626506116
24031700610,142073.0,159188.0,2000.0,2308.0,481100.0,625500.0,12.046623918689688,15.4,30.014549989607147,96.9655172413793,3.0344827586206895,89.9390243902439,10.060975609756099,-7.0264928511354015,7.0264928511354094
24031700611,151147.0,215000.0,2000.0,3050.0,594100.0,752600.0,42.24562842795424,52.5,26.679010267631718,91.33949191685913,8.660508083140877,92.52607184241019,7.4739281575898024,1.186579925551058,-1.186579925551075
24031700613,129500.0,164821.0,1732.0,2339.0,550600.0,666600.0,27.27490347490347,35.04618937644342,21.06792589901925,66.68280871670702,33.31719128329298,77.75609756097562,22.243902439024392,11.073288844268603,-11.073288844268586
24031700614,74389.0,86460.0,1502.0,1810.0,211700.0,325400.0,16.226861498339808,20.505992010652463,53.708077468115256,58.89811980760822,41.10188019239178,63.29113924050633,36.708860759493675,4.3930194328981145,-4.393019432898107
24031700615,145417.0,210000.0,2000.0,2719.0,609600.0,789000.0,44.41227641885062,35.95,29.429133858267715,97.27272727272728,2.727272727272727,92.10526315789474,7.894736842105263,-5.167464114832541,5.167464114832535
24031700616,127228.0,177768.0,2000.0,2538.0,543100.0,758500.0,39.72396013456157,26.9,39.66120419812189,89.24434638720354,10.75565361279647,93.8682322243966,6.131767775603391,4.623885837193072,-4.623885837193079
24031700617,,181042.0,,1994.0,,739800.0,,,,,,,,,
24031700618,,207875.0,,3500.0,,825900.0,,,,,,,,,
24031700704,72554.0,,1164.0,,358400.0,,,,,,,,,,
24031700706,69444.0,102917.0,1411.0,1932.0,323200.0,513600.0,48.20142848914233,36.92416725726435,58.91089108910891,42.5914445133292,57.4085554866708,36.422413793103445,63.577586206896555,-6.169030720225756,6.169030720225756
24031700710,92269.0,121823.0,1582.0,1791.0,375400.0,504200.0,32.0302593503777,13.211125158027812,34.310069259456576,81.74334140435835,18.256658595641646,78.67752755150934,21.322472448490657,-3.065813852849004,3.0658138528490113
24031700711,97632.0,116150.0,1576.0,2405.0,379900.0,518500.0,18.967141920681744,52.60152284263959,36.483285075019744,75.44513457556936,24.55486542443064,70.61704211557297,29.38295788442703,-4.828092459996384,4.8280924599963875
24031700713,48485.0,53333.0,1373.0,1844.0,228800.0,294700.0,9.998968753222648,34.304442825928625,28.802447552447557,32.63598326359833,67.36401673640168,35.08064516129033,64.91935483870968,2.4446618976920007,-2.4446618976920007
24031700715,98433.0,104456.0,2000.0,2298.0,304300.0,389700.0,6.118882894964087,14.9,28.064410121590537,86.07046070460704,13.929539295392953,78.37521917007598,21.62478082992402,-7.695241534531064,7.695241534531068
24031700716,83726.0,,1546.0,,277900.0,,,,,,,,,,
24031700717,66964.0,,1361.0,,318000.0,,,,,,,,,,
24031700718,113679.0,120918.0,2000.0,2470.0,472100.0,606200.0,6.367930752381707,23.5,28.40499894090235,43.03170409511228,56.96829590488771,51.698670605612996,48.301329394387,8.666966510500714,-8.666966510500714
24031700719,55013.0,,1258.0,,200700.0,,,,,,,,,,
24031700720,94624.0,151667.0,1421.0,2178.0,401400.0,545300.0,60.283860331416975,53.27234342012667,35.84952665670155,73.93410852713178,26.06589147286822,55.59471365638766,44.40528634361233,-18.339394870744123,18.339394870744112
24031700721,60648.0,75058.0,1240.0,1755.0,168600.0,211600.0,23.760058039836437,41.53225806451613,25.50415183867141,42.785445420326226,57.21455457967378,58.53080568720379,41.46919431279621,15.745360266877562,-15.745360266877569
24031700722,77614.0,,1470.0,,255300.0,,,,,,,,,,
24031700723,62431.0,93846.0,1559.0,2129.0,299500.0,457900.0,50.31955278627605,36.56189865298269,52.88814691151919,20.506454816286,79.493545183714,12.09862385321101,87.90137614678899,-8.40783096307499,8.407830963074986
24031700724,44784.0,63361.0,1269.0,1485.0,145700.0,530200.0,41.48133261879243,17.02127659574468,263.8984214138641,14.388489208633093,85.61151079136691,6.1465721040189125,93.85342789598108,-8.241917104614181,8.241917104614174
24031700725,,72031.0,,1916.0,,279200.0,,,,,,,,,
24031700726,,,,1889.0,,490800.0,,,,,,,,,
24031700727,,85500.0,,1568.0,,440800.0,,,,,,,,,
24031700728,,99444.0,,2111.0,,554000.0,,,,,,,,,
24031700729,,130833.0,,1824.0,,445400.0,,,,,,,,,
24031700730,,111842.0,,1850.0,,471900.0,,,,,,,,,
24031700731,,77281.0,,2084.0,,471300.0,,,,,,,,,
24031700732,,80375.0,,1486.0,,314400.0,,,,,,,,,
24031700733,,86231.0,,1837.0,,304400.0,,,,,,,,,
24031700810,99960.0,153281.0,1738.0,2253.0,336300.0,398200.0,53.342336934773904,29.63176064441887,18.4061849539102,86.76470588235294,13.23529411764706,82.78641335636155,17.213586643638457,-3.9782925259913924,3.9782925259913977
24031700811,83389.0,90217.0,1846.0,2327.0,267700.0,371700.0,8.188130328940268,26.05633802816901,38.84945834889802,67.9375,32.0625,72.41610738255034,27.583892617449663,4.4786073825503365,-4.4786073825503365
24031700812,76471.0,90919.0,1415.0,2160.0,268500.0,346700.0,18.89343672764839,52.65017667844523,29.124767225325886,74.4186046511628,25.581395348837212,77.84431137724552,22.15568862275449,3.4257067260827228,-3.4257067260827228
24031700813,76018.0,102468.0,1234.0,1626.0,243400.0,367600.0,34.794390802178434,31.766612641815232,51.02711585866886,72.67297162767547,27.32702837232454,76.91556857003417,23.08443142996584,4.242596942358702,-4.242596942358702
