FID,County,School Name,Address,City,zip,Type,Grades,Format,GlobalID,x,y
1136,Prince George's,Samuel P. Massie Academy,3301 Regency Parkway,Forestville,20747,Public PreK-8,PreK-8,Public,b1ee9622-51d6-4734-a26a-9f2ac59174e4,1338760.45635317,429067.980042756
1137,Baltimore,Sandalwood Elementary School,900 South Marlyn Avenue,Baltimore,21221,Public Elementary,PreK-5,Public,9adfef65-52c8-4bba-999f-4c72e7d399b9,1466065.54819918,593162.502902925
1138,Montgomery,Sandburg (Carl) Learning Center,451 Meadow Hall Drive,Rockville,20851,Public Special Education,N/A,Public,4091d0a7-fded-448e-9d25-212316e0da7d,1281040.36214793,513371.431842342
1139,Dorchester,Sandy Hill Elementary School,1503 Glasgow Road,Cambridge,21613,Public Elementary,PreK-5,Public,dec7b70b-bb11-4827-ad66-1d164877f326,1572118.29048958,334108.314647511
1140,Baltimore,Sandy Plains Elementary School,8330 Kavanaugh Road,Baltimore,21222,Public Elementary,PreK-5,Public,1ae16bab-6d78-4c2c-987c-b12d0d499687,1457739.55697717,580691.766033426
1141,Carroll,Sandymount Elementary School,2222 Old Wminster Pike,Finksburg,21048,Public Elementary,PreK-5,Public,d738da98-b885-43ce-a266-b262cda04fe9,1335235.14647467,675649.273952678
1142,Baltimore City,Sarah M. Roach Elementary School #073,3434 Old Frederick Road,Baltimore,21229,Public Elementary,PreK-5,Public,33e2a83f-339f-43d5-a046-e89badc06575,1404444.17242642,588696.976400927
1143,Prince George's,Scotchtown Hills Elementary School,15950 Dorset Road,Laurel,20707,Public Elementary,PreK-6,Public,e9e76193-a68d-4530-9c4c-aefd66185aa7,1346894.34428485,525149.02016376
1144,Baltimore,Scotts Branch Elementary School,8220 Tawnmoore Road,Baltimore,21244,Public Elementary,K-5,Public,5a8bfe9c-7f64-4bb8-927c-1f23d2e3a9b5,1379143.72663634,616214.217626169
1145,Prince George's,Seabrook Elementary School,6001 Seabrook Road,Lanham,20706,Public Elementary,PreK-5,Public,d9a7f12a-9162-4c18-9ebc-b6e05b5c33a9,1357479.12692101,473895.742421165
1146,Prince George's,Seat Pleasant Elementary School,6411 G Street,Capitol Heights,0,Public Elementary,PreK-6,Public,df4f67c3-dcd3-46db-a50c-cbe13f735a7a,1338716.37638885,448134.622355595
1147,Baltimore,Seneca Elementary School,545 Carrollwood Road,Baltimore,0,Public Elementary,PreK-5,Public,5e08ac75-ff87-4982-b88e-c7880b6c7e1a,1484611.88709067,606163.406034917
1148,Montgomery,Seneca Valley High School,12700 Middlebrook Road,Germantown,0,Public High,9-12,Public,02d040fb-22ee-4191-95df-9cc900e997bf,1237308.09396958,548939.757359087
1149,Montgomery,Sequoyah Elementary School,17301 Bowie Mill Road,Derwood,0,Public Elementary,K-5,Public,e08b0f01-afd6-4f83-96e1-13b1fcbacc89,1278900.19024718,536280.051707417
1150,Montgomery,Seven Locks Elementary School,9500 Seven Locks Road,Bethesda,0,Public Elementary,K-5,Public,c668a3a2-577a-4071-b720-bbcaf51ffbec,1266457.69052592,490274.846473917
