OBJECTID_1,COUNTY,TRACT,Shape_Length,Shape_Area
170,043,000400,6090.07073931467,1698185.29039291
171,043,000800,6151.48080898338,1883849.50516067
172,043,000900,18246.3217569281,10840542.7763829
173,033,803900,5003.94825549826,1370155.33876223
174,033,806713,6864.126874067,1585845.80317572
175,033,804802,3258.25243221967,524395.109833641
176,033,805907,3369.21383227597,396150.088893925
177,033,805909,8661.19145296801,1955731.13154579
178,043,000601,9722.81096069673,3284098.48010059
179,043,000700,7087.25450141994,2255810.45766699
180,043,000500,9259.98580941058,3546916.62976691
181,005,421300,15641.0657506151,3435520.59019499
182,033,804002,11556.4823753266,3446440.04614118
183,033,804102,8570.42130286406,3539000.66698343
184,033,804300,12763.3282309366,5785295.97248743
185,033,806714,7890.59852161263,2697924.1513464
186,033,807410,6446.19677542992,1982688.8287766
187,033,802106,5518.19798509202,1607206.2830767
188,043,000302,4384.35132827525,936365.963178867
189,033,804600,6233.68528010365,1980332.79991863
190,025,302400,46656.0634840688,36537315.9984734
191,025,306100,17615.2468381599,5725361.42662808
192,013,507801,14455.4001812006,10608246.1127399
193,037,876001,16341.2880016864,10674404.820819
194,037,875902,43288.9069203642,28825236.3818732
195,045,000100,12412.481192988,5164492.91014888
196,045,000200,8373.75536358383,2596854.18597839
197,045,000300,9420.73751945726,1781296.57822678
198,045,010200,23170.6833914814,23770649.407016
199,045,000400,12500.2936667429,4145024.65850071
200,045,000500,9259.98939556047,3053838.90904464
201,025,301601,12818.6093415607,8700405.62489086
202,019,970500,10809.7548332516,4884127.14807448
203,019,970600,34491.5428288246,35536152.9348133
204,025,302901,16678.5061154325,7083927.28298422
205,031,703209,8039.12320259603,2994312.57717173
206,031,703213,3972.68315011471,997853.124629618
207,031,701900,5237.35739206395,747472.717877515
208,031,700818,10514.5027506229,3727917.61086515
209,031,701702,6087.64608677233,947859.376953977
210,031,703207,10177.245902477,6684744.11929138
211,031,700719,7961.77253213312,2288694.83973602
212,031,700724,5967.56586701309,1388910.87413212
213,031,701218,4852.05797018563,1207194.07611741
214,031,702000,6136.82444562754,1626839.08013748
215,031,701509,12351.9807112375,6730194.9342029
216,031,703214,7099.76310649338,3011575.26784319
217,031,703800,6897.1467087137,2009243.26792854
218,031,704805,3558.23797694359,514047.460908208
219,031,701422,3088.87668208546,543149.845982565
220,003,750101,7780.51421710493,2242064.79987916
221,003,730203,12955.1227749432,3782217.27044401
222,003,750201,11209.3858253126,5704617.89569619
