GEOID,MHI_2013,MHI_2023,Rent_2013,Rent_2023,Value_2013,Value_2023,Income_Change_%,Rent_Change_%,Value_Change_%
24031704403,71125.0,92625.0,1511.0,1780.0,277400.0,251400.0,30.228471001757466,17.802779616148246,-9.372746935832732
24031704404,134281.0,191220.0,2000.0,2341.0,642200.0,967700.0,42.40287159017285,17.05,50.68514481469947
24031704501,130700.0,235938.0,2000.0,2919.0,622800.0,923400.0,80.51874521805662,45.95,48.26589595375722
24031704502,201111.0,250000.0,2000.0,3500.0,743500.0,1055600.0,24.30946094445356,75.0,41.97713517148621
24031704503,176705.0,250000.0,2000.0,3500.0,727700.0,990200.0,41.47873574601738,75.0,36.07255737254363
24031704803,74623.0,121375.0,1547.0,1930.0,576100.0,636000.0,62.650925317931474,24.75759534583064,10.39750043395244
24031704804,113346.0,132027.0,1912.0,2457.0,634900.0,645300.0,16.481393256047852,28.50418410041841,1.6380532367301939
24031704805,102098.0,134286.0,1842.0,2769.0,786100.0,724000.0,31.526572508766087,50.3257328990228,-7.899758300470679
24031704806,87500.0,99904.0,1731.0,2352.0,559900.0,427400.0,14.176,35.875216637781634,-23.66494016788712
24031705501,102218.0,144118.0,2000.0,2415.0,627300.0,1147700.0,40.99082353401553,20.75,82.95871194006058
24031705502,155833.0,189828.0,2000.0,2409.0,1000000.0,1391500.0,21.81501992517631,20.45,39.15
24031705601,198750.0,250000.0,2000.0,3500.0,784100.0,1137500.0,25.78616352201258,75.0,45.07078178803724
24031705602,87377.0,125496.0,1738.0,2668.0,401700.0,630300.0,43.62589697517653,53.50978135788262,56.90814040328603
24031705701,150069.0,202841.0,1804.0,2681.0,875000.0,1137300.0,35.1651573609473,48.61419068736142,29.97714285714286
24031705702,174464.0,210917.0,2000.0,3500.0,994200.0,1246900.0,20.894281914893618,75.0,25.417421042043852
24031705901,196833.0,250000.0,2000.0,3500.0,907800.0,1399400.0,27.011222711638798,75.0,54.152897113901744
24031705902,190066.0,250000.0,2000.0,3500.0,892300.0,1241100.0,31.533256868666676,75.0,39.08999215510479
24031705903,203750.0,250000.0,2000.0,3500.0,919700.0,1370600.0,22.699386503067483,75.0,49.02685658366859
24031706005,214776.0,250000.0,2000.0,1905.0,1000000.0,1657000.0,16.400342682608855,-4.75,65.7
24031706007,201128.0,250000.0,2000.0,3500.0,941500.0,1233100.0,24.298953900003976,75.0,30.971853425385028
24031706008,239531.0,250000.0,2000.0,2861.0,1000000.0,1486400.0,4.3706242615778335,43.05,48.64
24031706009,250000.0,250000.0,2000.0,3500.0,1000000.0,1392300.0,0.0,75.0,39.23
24031706010,127167.0,200278.0,2000.0,,697200.0,885400.0,57.49211666548712,,26.99368904188181
24031706011,197832.0,250000.0,2000.0,3500.0,865800.0,1073400.0,26.36984916494804,75.0,23.977823977823977
24031706012,64909.0,74063.0,1226.0,1721.0,310200.0,348000.0,14.10282087229814,40.375203915171284,12.18568665377176
24031706013,213438.0,250000.0,2000.0,,938700.0,1180600.0,17.130033077521343,,25.769681474379464
