X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-76.97677046,38.8723182,89859,Ward 8,"1949 Naylor Road Southeast, Washington, District of Columbia 20020",1949 Naylor Road SE,Under Construction,DHCD,3,38.8723248,-76.97672323,0,0,0,3,0,,53361,402016,133831.8,1949 NAYLOR ROAD SE,2024/02/05 05:00:27+00
-77.02143499,38.95660342,89860,Ward 4,"611 Kennedy Street Northwest, Washington, District of Columbia 20011",611 Kennedy Street NW,Completed 2015 to Date,DHCD,1,38.95659596,-77.0214327,0,0,1,0,0,,246718,398142.32,143188.12,611 KENNEDY STREET NW,2024/02/05 05:00:27+00
-76.93061642,38.90742618,89861,Ward 7,"4920 Nash Street Northeast, Washington, District of Columbia 20019",4920 Nash St NE,Pipeline,DHCD,1,38.90741873,-76.93061415,0,1,0,0,0,,16230,406018.17,137731.09,4920 NASH STREET NE,2024/02/05 05:00:27+00
-76.93435017,38.90308884,89862,Ward 7,"4732 Sheriff Road Northeast, Washington, District of Columbia 20019",4732 Sheriff Road NE,Completed 2015 to Date,DHCD,1,38.90308138,-76.9343479,0,0,0,1,0,,309664,405694.67,137249.37,4732 SHERIFF ROAD NE,2024/02/05 05:00:27+00
-76.98141029,38.90358946,89863,Ward 5,"1044 Bladensburg Road Northeast, Washington, District of Columbia 20002",1044 Bladensburg Road NE,Under Construction,DHCD,1,38.90358201,-76.98140801,0,1,0,0,0,,74860,401612.66,137303.06,1044 BLADENSBURG ROAD NE,2024/02/05 05:00:27+00
-77.02781975,38.9311424,89864,Ward 1,"3315 11th Street Northwest, Washington, District of Columbia 20010",3315 11th St NW,Under Construction,DHCD,1,38.93113494,-77.02781745,0,0,0,1,0,,230987,397588.06,140361.87,3315 11TH STREET NW,2024/02/05 05:00:27+00
-76.91627379,38.89735409,89865,Ward 7,"5900 Foote Street Northeast, Washington, District of Columbia 20019",5900 Foote St NE,Completed 2015 to Date,DHCD,2,38.8973889,-76.91617834,0,0,2,0,0,,288735,407263.2,136614.05,5900 FOOTE STREET NE,2024/02/05 05:00:27+00
-76.96506038,38.85893293,89866,Ward 7,"2604 29th Street Southeast, Washington, District of Columbia 20020",2604 29th St SE,Completed 2015 to Date,DHCD,2,38.85892548,-76.96505811,0,0,2,0,0,,45976,403032.74,132346.26,2604 29TH STREET SE,2024/02/05 05:00:27+00
-77.03432457,38.92435804,89867,Ward 1,"2622 University Place Northwest, Washington, District of Columbia 20009",University Place Condos,Completed 2015 to Date,DHCD,2,38.92432228,-77.03439376,0,0,2,0,0,,234284,397023.77,139608.94,2622 UNIVERSITY PLACE NW,2024/02/05 05:00:27+00
-77.03299616,38.91236437,89868,Ward 2,"1420 R Street Northwest, Washington, District of Columbia 20009",Ritch Homes Apartments,Completed 2015 to Date,DCHFA DHCD,46,38.91235692,-77.03299387,5,0,37,4,0,,240186,397138.48,138277.5,1420 R STREET NW,2024/02/05 05:00:27+00
