ShapeSTArea,ShapeSTLength,OBJECTID_left,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,index_right,OBJECTID_right,GIS_ID,NAME,WEB_URL,ADDRESS,MetroLine
1958115.81640625,5885.18063509,1943,24,031,701222,24031701222,7012.22,Census Tract,G5020,S,1179645,0,+39.0393872,-077.1168941,39,40,mstn_40,White Flint,http://www.wmata.com/rail/station_detail.cfm?station_id=15,"5500 MARINELLI ROAD, ROCKVILLE, MD",red
1205747.35546875,5283.869258791481,1944,24,031,701223,24031701223,7012.23,Census Tract,G5020,S,715731,10789,+39.0325195,-077.1111259,40,41,mstn_41,Grosvenor-Strathmore,http://www.wmata.com/rail/station_detail.cfm?station_id=14,"10300 ROCKVILLE PIKE, BETHESDA, MD",red
2704053.55859375,8985.037570891358,1945,24,031,703222,24031703222,7032.22,Census Tract,G5020,S,1609508,18251,+39.0666172,-077.0410781,5,6,mstn_6,Glenmont,http://www.wmata.com/rail/station_detail.cfm?station_id=34,"12501 GEORGIA AVENUE, SILVER SPRING, MD",red
677202.5703125,3961.178846301988,1951,24,031,702503,24031702503,7025.03,Census Tract,G5020,S,408458,0,+38.9971020,-077.0281693,8,9,mstn_9,Silver Spring,http://www.wmata.com/rail/station_detail.cfm?station_id=31,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red
3552111.65234375,8648.211052149058,1952,24,031,700728,24031700728,7007.28,Census Tract,G5020,S,2134662,0,+39.1271568,-077.1761624,36,37,mstn_37,Shady Grove,http://www.wmata.com/rail/station_detail.cfm?station_id=18,"15903 SOMERVILLE DRIVE, DERWOOD, MD",red
635666.28125,5046.751689290443,1962,24,031,702502,24031702502,7025.02,Census Tract,G5020,S,383501,0,+38.9879974,-077.0247984,4,5,mstn_5,Takoma,http://www.wmata.com/rail/station_detail.cfm?station_id=29,"327 CEDAR STREET NW, WASHINGTON, DC",red
635666.28125,5046.751689290443,1962,24,031,702502,24031702502,7025.02,Census Tract,G5020,S,383501,0,+38.9879974,-077.0247984,8,9,mstn_9,Silver Spring,http://www.wmata.com/rail/station_detail.cfm?station_id=31,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red
185132.9765625,2582.9455897282323,1969,24,031,702603,24031702603,7026.03,Census Tract,G5020,S,111683,0,+38.9907396,-077.0314179,8,9,mstn_9,Silver Spring,http://www.wmata.com/rail/station_detail.cfm?station_id=31,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red
387961.1171875,4198.821400740916,1971,24,031,702604,24031702604,7026.04,Census Tract,G5020,S,234021,0,+38.9940399,-077.0349117,8,9,mstn_9,Silver Spring,http://www.wmata.com/rail/station_detail.cfm?station_id=31,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red
2857269.01171875,7919.636939203395,2089,24,031,700902,24031700902,7009.02,Census Tract,G5020,S,1718904,0,+39.0896147,-077.1442283,37,38,mstn_38,Rockville,http://www.wmata.com/rail/station_detail.cfm?station_id=17,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",red
10928097.09765625,19288.18189105979,2102,24,031,701211,24031701211,7012.11,Census Tract,G5020,S,6559163,11619,+39.1090766,-077.1540952,36,37,mstn_37,Shady Grove,http://www.wmata.com/rail/station_detail.cfm?station_id=18,"15903 SOMERVILLE DRIVE, DERWOOD, MD",red
17326866.51171875,21890.416702524304,2106,24,031,701212,24031701212,7012.12,Census Tract,G5020,S,9958364,455762,+39.1206316,-077.1290395,36,37,mstn_37,Shady Grove,http://www.wmata.com/rail/station_detail.cfm?station_id=18,"15903 SOMERVILLE DRIVE, DERWOOD, MD",red
3436649.38671875,8729.406811408235,2113,24,031,701102,24031701102,7011.02,Census Tract,G5020,S,2068442,0,+39.0723414,-077.1243447,38,39,mstn_39,Twinbrook,http://www.wmata.com/rail/station_detail.cfm?station_id=16,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red
3436649.38671875,8729.406811408235,2113,24,031,701102,24031701102,7011.02,Census Tract,G5020,S,2068442,0,+39.0723414,-077.1243447,37,38,mstn_38,Rockville,http://www.wmata.com/rail/station_detail.cfm?station_id=17,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",red
2062911.04296875,6717.507025240834,2117,24,031,703702,24031703702,7037.02,Census Tract,G5020,S,1242456,0,+39.0486516,-077.0563037,5,6,mstn_6,Glenmont,http://www.wmata.com/rail/station_detail.cfm?station_id=34,"12501 GEORGIA AVENUE, SILVER SPRING, MD",red
2062911.04296875,6717.507025240834,2117,24,031,703702,24031703702,7037.02,Census Tract,G5020,S,1242456,0,+39.0486516,-077.0563037,6,7,mstn_7,Wheaton,http://www.wmata.com/rail/station_detail.cfm?station_id=33,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red
4242109.53515625,12228.967089806583,2335,24,031,701201,24031701201,7012.01,Census Tract,G5020,S,2534649,20262,+39.0498578,-077.0957459,39,40,mstn_40,White Flint,http://www.wmata.com/rail/station_detail.cfm?station_id=15,"5500 MARINELLI ROAD, ROCKVILLE, MD",red
2970325.140625,8441.101756427972,2336,24,031,701202,24031701202,7012.02,Census Tract,G5020,S,1789482,0,+39.0386325,-077.1001237,40,41,mstn_41,Grosvenor-Strathmore,http://www.wmata.com/rail/station_detail.cfm?station_id=14,"10300 ROCKVILLE PIKE, BETHESDA, MD",red
2970325.140625,8441.101756427972,2336,24,031,701202,24031701202,7012.02,Census Tract,G5020,S,1789482,0,+39.0386325,-077.1001237,39,40,mstn_40,White Flint,http://www.wmata.com/rail/station_detail.cfm?station_id=15,"5500 MARINELLI ROAD, ROCKVILLE, MD",red
11344013.74609375,15380.096975288268,2337,24,031,701205,24031701205,7012.05,Census Tract,G5020,S,6817745,16126,+39.0418495,-077.1354132,39,40,mstn_40,White Flint,http://www.wmata.com/rail/station_detail.cfm?station_id=15,"5500 MARINELLI ROAD, ROCKVILLE, MD",red
3448646.140625,9596.006761170933,2340,24,031,704300,24031704300,7043,Census Tract,G5020,S,2027754,50798,+39.0231982,-077.0894389,40,41,mstn_41,Grosvenor-Strathmore,http://www.wmata.com/rail/station_detail.cfm?station_id=14,"10300 ROCKVILLE PIKE, BETHESDA, MD",red
3758807.3515625,9761.606645738377,2341,24,031,704401,24031704401,7044.01,Census Tract,G5020,S,2263541,1986,+39.0218818,-077.1147298,40,41,mstn_41,Grosvenor-Strathmore,http://www.wmata.com/rail/station_detail.cfm?station_id=14,"10300 ROCKVILLE PIKE, BETHESDA, MD",red
3148652.609375,10554.390650405314,2344,24,031,704600,24031704600,7046,Census Tract,G5020,S,1899131,0,+38.9970312,-077.1177739,41,42,mstn_42,Medical Center,http://www.wmata.com/rail/station_detail.cfm?station_id=13,"8810 ROCKVILLE PIKE, BETHESDA, MD",red
2085832.9375,6983.463966141514,2345,24,031,701214,24031701214,7012.14,Census Tract,G5020,S,1256935,0,+39.0295353,-077.0984854,40,41,mstn_41,Grosvenor-Strathmore,http://www.wmata.com/rail/station_detail.cfm?station_id=14,"10300 ROCKVILLE PIKE, BETHESDA, MD",red
