geoid,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
14000US24005406000,"Census Tract 4060, Baltimore, MD",2186,209,2147,212,39,47
14000US24005407001,"Census Tract 4070.01, Baltimore, MD",1129,74,1086,80,43,35
14000US24005407002,"Census Tract 4070.02, Baltimore, MD",2010,249,1874,245,136,74
14000US24005408100,"Census Tract 4081, Baltimore, MD",2559,353,1730,175,829,342
14000US24005408200,"Census Tract 4082, Baltimore, MD",705,75,590,79,115,57
14000US24005408302,"Census Tract 4083.02, Baltimore, MD",1172,154,1132,160,40,23
14000US24005408303,"Census Tract 4083.03, Baltimore, MD",1213,127,1203,128,10,15
14000US24005408304,"Census Tract 4083.04, Baltimore, MD",2245,282,1816,220,429,231
14000US24005408400,"Census Tract 4084, Baltimore, MD",722,85,280,42,442,85
14000US24005408502,"Census Tract 4085.02, Baltimore, MD",2031,231,1596,215,435,100
14000US24005408503,"Census Tract 4085.03, Baltimore, MD",1756,253,790,224,966,225
14000US24005408505,"Census Tract 4085.05, Baltimore, MD",1451,94,1031,116,420,93
14000US24005408506,"Census Tract 4085.06, Baltimore, MD",2392,233,166,97,2226,236
14000US24005408507,"Census Tract 4085.07, Baltimore, MD",3005,387,237,225,2768,309
14000US24005408601,"Census Tract 4086.01, Baltimore, MD",1549,153,1449,157,100,65
14000US24005408602,"Census Tract 4086.02, Baltimore, MD",740,85,720,91,20,19
14000US24005408702,"Census Tract 4087.02, Baltimore, MD",902,75,725,83,177,61
14000US24005408703,"Census Tract 4087.03, Baltimore, MD",2829,309,2115,246,714,294
14000US24005408704,"Census Tract 4087.04, Baltimore, MD",1952,164,1828,180,124,70
14000US24005408800,"Census Tract 4088, Baltimore, MD",975,109,614,115,361,56
14000US24005408900,"Census Tract 4089, Baltimore, MD",1092,146,1017,149,75,43
14000US24005410100,"Census Tract 4101, Baltimore, MD",2180,278,2130,277,50,46
14000US24005410200,"Census Tract 4102, Baltimore, MD",1731,141,1705,140,26,28
14000US24005411101,"Census Tract 4111.01, Baltimore, MD",853,152,723,75,130,141
14000US24005411102,"Census Tract 4111.02, Baltimore, MD",1199,155,1153,158,46,33
14000US24005411201,"Census Tract 4112.01, Baltimore, MD",1062,95,1012,106,50,43
14000US24005411202,"Census Tract 4112.02, Baltimore, MD",1474,185,1275,167,199,78
14000US24005411302,"Census Tract 4113.02, Baltimore, MD",1411,125,1202,107,209,95
14000US24005411303,"Census Tract 4113.03, Baltimore, MD",2553,290,1862,324,691,193
14000US24005411306,"Census Tract 4113.06, Baltimore, MD",2116,234,1657,214,459,203
14000US24005411307,"Census Tract 4113.07, Baltimore, MD",1463,217,827,149,636,230
14000US24005411308,"Census Tract 4113.08, Baltimore, MD",1584,200,1468,206,116,79
14000US24005411309,"Census Tract 4113.09, Baltimore, MD",3121,240,2795,275,326,134
14000US24005411404,"Census Tract 4114.04, Baltimore, MD",1252,157,1144,165,108,51
14000US24005411406,"Census Tract 4114.06, Baltimore, MD",1688,132,1558,146,130,58
14000US24005411408,"Census Tract 4114.08, Baltimore, MD",1480,189,541,140,939,177
14000US24005411409,"Census Tract 4114.09, Baltimore, MD",1575,105,1443,125,132,70
14000US24005411410,"Census Tract 4114.10, Baltimore, MD",1775,259,1593,267,182,93
14000US24005411411,"Census Tract 4114.11, Baltimore, MD",1193,186,912,190,281,127
14000US24005411412,"Census Tract 4114.12, Baltimore, MD",1491,229,612,258,879,215
14000US24005411413,"Census Tract 4114.13, Baltimore, MD",2114,429,729,252,1385,387
14000US24005420100,"Census Tract 4201, Baltimore, MD",1311,162,1089,187,222,130
14000US24005420200,"Census Tract 4202, Baltimore, MD",1571,213,1316,200,255,94
14000US24005420301,"Census Tract 4203.01, Baltimore, MD",1027,171,474,124,553,191
14000US24005420302,"Census Tract 4203.02, Baltimore, MD",931,124,549,139,382,89
14000US24005420303,"Census Tract 4203.03, Baltimore, MD",492,95,425,101,67,39
14000US24005420401,"Census Tract 4204.01, Baltimore, MD",2183,195,897,199,1286,257
14000US24005420402,"Census Tract 4204.02, Baltimore, MD",753,95,549,66,204,90
14000US24005420500,"Census Tract 4205, Baltimore, MD",1418,222,843,184,575,236
14000US24005420600,"Census Tract 4206, Baltimore, MD",1296,175,995,188,301,95
14000US24005420701,"Census Tract 4207.01, Baltimore, MD",1321,192,673,158,648,214
14000US24005420702,"Census Tract 4207.02, Baltimore, MD",824,90,664,101,160,82
14000US24005420800,"Census Tract 4208, Baltimore, MD",1264,167,1083,184,181,121
14000US24005420900,"Census Tract 4209, Baltimore, MD",1530,114,810,149,720,138
14000US24005421000,"Census Tract 4210, Baltimore, MD",1070,179,361,105,709,157
14000US24005421101,"Census Tract 4211.01, Baltimore, MD",1276,146,634,113,642,149
14000US24005421102,"Census Tract 4211.02, Baltimore, MD",1115,198,741,118,374,208
14000US24005421200,"Census Tract 4212, Baltimore, MD",784,111,687,118,97,53
14000US24005430101,"Census Tract 4301.01, Baltimore, MD",1977,187,688,227,1289,244
14000US24005430104,"Census Tract 4301.04, Baltimore, MD",1032,294,905,305,127,77
14000US24005430200,"Census Tract 4302, Baltimore, MD",1160,232,807,218,353,147
14000US24005430300,"Census Tract 4303, Baltimore, MD",2244,416,1323,356,921,379
14000US24005430400,"Census Tract 4304, Baltimore, MD",1712,235,1247,129,465,211
14000US24005430600,"Census Tract 4306, Baltimore, MD",931,101,875,107,56,43
14000US24005430700,"Census Tract 4307, Baltimore, MD",2060,252,1741,251,319,132
14000US24005430800,"Census Tract 4308, Baltimore, MD",1577,183,1198,162,379,166
14000US24005430900,"Census Tract 4309, Baltimore, MD",1856,211,795,219,1061,210
14000US24005440100,"Census Tract 4401, Baltimore, MD",1524,186,1448,184,76,50
14000US24005440200,"Census Tract 4402, Baltimore, MD",1055,106,750,157,305,117
14000US24005440300,"Census Tract 4403, Baltimore, MD",976,108,480,108,496,83
14000US24005440400,"Census Tract 4404, Baltimore, MD",2269,352,2067,339,202,117
14000US24005440500,"Census Tract 4405, Baltimore, MD",1328,173,1201,171,127,55
